region_geografica;cantidad_de_sedes
OCEANÍA;3
ÁFRICA  DEL  NORTE  Y  CERCANO  ORIENTE;5
EUROPA  CENTRAL  Y  ORIENTAL;8
ÁFRICA  SUBSAHARIANA;8
AMÉRICA  CENTRAL  Y  CARIBE;14
AMÉRICA  DEL  NORTE;16
ASIA;30
EUROPA  OCCIDENTAL;35
AMÉRICA  DEL  SUR;45
