País,Sede,Red Social,URL
AUSTRALIA,CSIDN,,  
AUSTRALIA,CSIDN,,https:
AUSTRALIA,CSIDN,Facebook,www.facebook.com/ArgentinaEnSidney/  
AUSTRALIA,EAUST,,  
AUSTRALIA,EAUST,,  https:
AUSTRALIA,EAUST,,https:
AUSTRALIA,EAUST,Facebook,www.facebook.com/ArgentinaEnAustralia/  
AUSTRALIA,EAUST,Twitter,twitter.com/ARGinAustralia  
BARBADOS,EBARB,,  
BARBADOS,EBARB,,https:
BARBADOS,EBARB,Facebook,www.facebook.com/ArgentinaEnBarbados/  
CANADÁ,CTORO,,  
CANADÁ,CTORO,,  https:
CANADÁ,CTORO,,https:
CANADÁ,CTORO,Facebook,www.facebook.com/ArgentinaEnToronto/  
CANADÁ,CTORO,Instagram,www.instagram.com/consuladoargtoronto/  
CANADÁ,ECANA,,  https:
CANADÁ,ECANA,,https:
CANADÁ,ECANA,Facebook,www.facebook.com/ArgentinaInCanada  
CANADÁ,ECANA,Twitter,twitter.com/ArginCanada  
CANADÁ,ECANA,Youtube,www.youtube.com/channel/UC77DGXZ2ppExRtV4WS4IV-A  
Confederación  Suiza,EOIRS,,  https:
Confederación  Suiza,EOIRS,,https:
Confederación  Suiza,EOIRS,Facebook,www.facebook.com/ArgentinaEnGinebra  
Confederación  Suiza,EOIRS,Instagram,  www.instagram.com/misionargentinaonu  
Confederación  Suiza,EOIRS,Twitter,twitter.com/ArgentinaONUOMC    
Confederación  Suiza,EOIRS,Youtube,www.youtube.com/channel/UCSOsChik8j7nFJZnPq6K7Ag  
EMIRATOS  ÁRABES  UNIDOS,EEARB,,  
EMIRATOS  ÁRABES  UNIDOS,EEARB,,https:
EMIRATOS  ÁRABES  UNIDOS,EEARB,Facebook,www.facebook.com/ArgentinaEnEmiratosArabesUnidos  
ESTADO  DE  ISRAEL,CGTEL,,  
ESTADO  DE  ISRAEL,CGTEL,,https:
ESTADO  DE  ISRAEL,CGTEL,Facebook,www.facebook.com/ArgentinaEnIsrael/  
ESTADO  DE  ISRAEL,EISRA,,  
ESTADO  DE  ISRAEL,EISRA,,  https:
ESTADO  DE  ISRAEL,EISRA,,https:
ESTADO  DE  ISRAEL,EISRA,Facebook,www.facebook.com/ArgEnIsrael  
ESTADO  DE  ISRAEL,EISRA,Twitter,twitter.com/argenisrael  
ESTADO  DE  KUWAIT,EKUWA,,  
ESTADO  DE  KUWAIT,EKUWA,Facebook,www.facebook.com/ArgentinaenKuwait  
ESTADO  DE  PALESTINA,REPAL,,  
