Region_geografica,Paises_con_sedes,promedio_flujo_neto_arg_2000
América del Norte,29,8716.625
Oceania,3,5202.5
Asia,32,1068.25
África,13,158.0
Europa/Asia,1,-2349.0
Europa,37,-13171.09090909091
América del Sur,46,-69693.25
